

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 759 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 77.33%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 500 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 759
Name: No Name Provided
DataType: AA
Substitution Matrix: LG
Using fixed base frequencies




RAxML was called as follows:

raxmlHPC-PTHREADS -T 16 -s /jetstream2/scratch/main/jobs/72980228/inputs/dataset_3e205436-d90a-4eae-b7a1-e201dcf68d8c.dat -n galaxy -m PROTGAMMALG -p 12345 -N 500 -B 0.03 -c 25 -f a -K GTR -W 100 -x 12345 



Time for BS model parameter optimization 2.006609
Bootstrap[143]: Time 59.583118 seconds, bootstrap likelihood -142309.408914, best rearrangement setting 7
Bootstrap[144]: Time 109.184889 seconds, bootstrap likelihood -139265.214346, best rearrangement setting 13
Bootstrap[145]: Time 67.591855 seconds, bootstrap likelihood -142186.235614, best rearrangement setting 7
Bootstrap[146]: Time 82.133635 seconds, bootstrap likelihood -126166.928269, best rearrangement setting 9
Bootstrap[147]: Time 107.000230 seconds, bootstrap likelihood -122227.359828, best rearrangement setting 12
Bootstrap[148]: Time 68.604649 seconds, bootstrap likelihood -130904.002815, best rearrangement setting 8
Bootstrap[149]: Time 101.407860 seconds, bootstrap likelihood -137484.719705, best rearrangement setting 12
Bootstrap[150]: Time 127.307126 seconds, bootstrap likelihood -125157.392081, best rearrangement setting 14
Bootstrap[151]: Time 44.853474 seconds, bootstrap likelihood -124762.338844, best rearrangement setting 5
Bootstrap[152]: Time 46.086684 seconds, bootstrap likelihood -132661.222780, best rearrangement setting 5
Bootstrap[153]: Time 112.383745 seconds, bootstrap likelihood -127307.796456, best rearrangement setting 13
Bootstrap[154]: Time 118.869844 seconds, bootstrap likelihood -134448.272106, best rearrangement setting 14
Bootstrap[155]: Time 111.254421 seconds, bootstrap likelihood -134199.655631, best rearrangement setting 13
Bootstrap[156]: Time 97.941079 seconds, bootstrap likelihood -138645.495347, best rearrangement setting 11
Bootstrap[157]: Time 71.228123 seconds, bootstrap likelihood -140292.149270, best rearrangement setting 8
